place_id,Price Tier,Price Tier Label,Estimated Cost Per Pax ($),Q1 Monthly HH Income ($),Q1 Monthly Restaurant Budget ($),Q1 Annual Restaurant Budget ($),Q1 Visits Per Month,Q1 Visits Per Year,Q1 Cost as % of Income,Q1 Cost as % of Restaurant Budget,Q1 Affordable Daily,Q1 Affordable Weekly,Q1 Affordable Monthly,Q1 Affordable Quarterly,Q1 Affordable Annually,Q1 Affordability Category,Q1 Best Frequency Affordable,Q2 Monthly HH Income ($),Q2 Monthly Restaurant Budget ($),Q2 Annual Restaurant Budget ($),Q2 Visits Per Month,Q2 Visits Per Year,Q2 Cost as % of Income,Q2 Cost as % of Restaurant Budget,Q2 Affordable Daily,Q2 Affordable Weekly,Q2 Affordable Monthly,Q2 Affordable Quarterly,Q2 Affordable Annually,Q2 Affordability Category,Q2 Best Frequency Affordable,Q3 Monthly HH Income ($),Q3 Monthly Restaurant Budget ($),Q3 Annual Restaurant Budget ($),Q3 Visits Per Month,Q3 Visits Per Year,Q3 Cost as % of Income,Q3 Cost as % of Restaurant Budget,Q3 Affordable Daily,Q3 Affordable Weekly,Q3 Affordable Monthly,Q3 Affordable Quarterly,Q3 Affordable Annually,Q3 Affordability Category,Q3 Best Frequency Affordable,Q4 Monthly HH Income ($),Q4 Monthly Restaurant Budget ($),Q4 Annual Restaurant Budget ($),Q4 Visits Per Month,Q4 Visits Per Year,Q4 Cost as % of Income,Q4 Cost as % of Restaurant Budget,Q4 Affordable Daily,Q4 Affordable Weekly,Q4 Affordable Monthly,Q4 Affordable Quarterly,Q4 Affordable Annually,Q4 Affordability Category,Q4 Best Frequency Affordable,Q5 Monthly HH Income ($),Q5 Monthly Restaurant Budget ($),Q5 Annual Restaurant Budget ($),Q5 Visits Per Month,Q5 Visits Per Year,Q5 Cost as % of Income,Q5 Cost as % of Restaurant Budget,Q5 Affordable Daily,Q5 Affordable Weekly,Q5 Affordable Monthly,Q5 Affordable Quarterly,Q5 Affordable Annually,Q5 Affordability Category,Q5 Best Frequency Affordable
ChIJ5ySHC3IZ2jERu-xiMMTjAVE,2.0,"$$ (~$60/pax, Casual Dining)",60,3254.0,99.5,1194,1.66,19.9,1.84,60.3,False,False,True,True,True,Affordable,Monthly,7961.0,148.8,1786,2.48,29.8,0.75,40.3,False,False,True,True,True,Very Affordable,Monthly,13058.0,280.8,3370,4.68,56.2,0.46,21.4,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,6.68,80.1,0.32,15.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,11.16,134.0,0.17,9.0,False,True,True,True,True,Very Affordable,Weekly
ChIJDXnRsjcb2jERiBydCxYnw1E,3.0,"$$$ (~$120/pax, Fine Dining)",120,3254.0,99.5,1194,0.83,10.0,3.69,120.6,False,False,False,True,True,Moderate,Quarterly,7961.0,148.8,1786,1.24,14.9,1.51,80.6,False,False,True,True,True,Affordable,Monthly,13058.0,280.8,3370,2.34,28.1,0.92,42.7,False,False,True,True,True,Very Affordable,Monthly,18751.0,400.6,4807,3.34,40.1,0.64,30.0,False,False,True,True,True,Very Affordable,Monthly,34341.0,669.8,8038,5.58,67.0,0.35,17.9,False,True,True,True,True,Very Affordable,Weekly
ChIJmf03430Z2jERDoCj3LvUSQw,1.0,"$ (~$20/pax, Hawker/Kopitiam)",20,3254.0,99.5,1194,4.97,59.7,0.61,20.1,False,True,True,True,True,Very Affordable,Weekly,7961.0,148.8,1786,7.44,89.3,0.25,13.4,False,True,True,True,True,Very Affordable,Weekly,13058.0,280.8,3370,14.04,168.5,0.15,7.1,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,20.03,240.4,0.11,5.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,33.49,401.9,0.06,3.0,True,True,True,True,True,Very Affordable,Daily
ChIJWwDgCSwX2jERf0TwOrbK2xA,1.0,"$ (~$20/pax, Hawker/Kopitiam)",20,3254.0,99.5,1194,4.97,59.7,0.61,20.1,False,True,True,True,True,Very Affordable,Weekly,7961.0,148.8,1786,7.44,89.3,0.25,13.4,False,True,True,True,True,Very Affordable,Weekly,13058.0,280.8,3370,14.04,168.5,0.15,7.1,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,20.03,240.4,0.11,5.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,33.49,401.9,0.06,3.0,True,True,True,True,True,Very Affordable,Daily
ChIJ7SUpBGoa2jERf87hnXTrMCY,1.0,"$ (~$20/pax, Hawker/Kopitiam)",20,3254.0,99.5,1194,4.97,59.7,0.61,20.1,False,True,True,True,True,Very Affordable,Weekly,7961.0,148.8,1786,7.44,89.3,0.25,13.4,False,True,True,True,True,Very Affordable,Weekly,13058.0,280.8,3370,14.04,168.5,0.15,7.1,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,20.03,240.4,0.11,5.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,33.49,401.9,0.06,3.0,True,True,True,True,True,Very Affordable,Daily
ChIJwa2_nSwY2jERqr9kqOaN5O0,1.0,"$ (~$20/pax, Hawker/Kopitiam)",20,3254.0,99.5,1194,4.97,59.7,0.61,20.1,False,True,True,True,True,Very Affordable,Weekly,7961.0,148.8,1786,7.44,89.3,0.25,13.4,False,True,True,True,True,Very Affordable,Weekly,13058.0,280.8,3370,14.04,168.5,0.15,7.1,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,20.03,240.4,0.11,5.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,33.49,401.9,0.06,3.0,True,True,True,True,True,Very Affordable,Daily
ChIJE69i1WkX2jERoghAB9OcsYI,1.0,"$ (~$20/pax, Hawker/Kopitiam)",20,3254.0,99.5,1194,4.97,59.7,0.61,20.1,False,True,True,True,True,Very Affordable,Weekly,7961.0,148.8,1786,7.44,89.3,0.25,13.4,False,True,True,True,True,Very Affordable,Weekly,13058.0,280.8,3370,14.04,168.5,0.15,7.1,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,20.03,240.4,0.11,5.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,33.49,401.9,0.06,3.0,True,True,True,True,True,Very Affordable,Daily
ChIJx-Df2KMZ2jERwzqHPGryf9E,1.0,"$ (~$20/pax, Hawker/Kopitiam)",20,3254.0,99.5,1194,4.97,59.7,0.61,20.1,False,True,True,True,True,Very Affordable,Weekly,7961.0,148.8,1786,7.44,89.3,0.25,13.4,False,True,True,True,True,Very Affordable,Weekly,13058.0,280.8,3370,14.04,168.5,0.15,7.1,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,20.03,240.4,0.11,5.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,33.49,401.9,0.06,3.0,True,True,True,True,True,Very Affordable,Daily
ChIJ-eXK8mga2jER47OPcbdMYCY,1.0,"$ (~$20/pax, Hawker/Kopitiam)",20,3254.0,99.5,1194,4.97,59.7,0.61,20.1,False,True,True,True,True,Very Affordable,Weekly,7961.0,148.8,1786,7.44,89.3,0.25,13.4,False,True,True,True,True,Very Affordable,Weekly,13058.0,280.8,3370,14.04,168.5,0.15,7.1,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,20.03,240.4,0.11,5.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,33.49,401.9,0.06,3.0,True,True,True,True,True,Very Affordable,Daily
ChIJSwYWdLQZ2jERrzmOTYRJGw4,1.0,"$ (~$20/pax, Hawker/Kopitiam)",20,3254.0,99.5,1194,4.97,59.7,0.61,20.1,False,True,True,True,True,Very Affordable,Weekly,7961.0,148.8,1786,7.44,89.3,0.25,13.4,False,True,True,True,True,Very Affordable,Weekly,13058.0,280.8,3370,14.04,168.5,0.15,7.1,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,20.03,240.4,0.11,5.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,33.49,401.9,0.06,3.0,True,True,True,True,True,Very Affordable,Daily
ChIJ-zvlIDQZ2jERQmjhYTdSKMg,2.0,"$$ (~$60/pax, Casual Dining)",60,3254.0,99.5,1194,1.66,19.9,1.84,60.3,False,False,True,True,True,Affordable,Monthly,7961.0,148.8,1786,2.48,29.8,0.75,40.3,False,False,True,True,True,Very Affordable,Monthly,13058.0,280.8,3370,4.68,56.2,0.46,21.4,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,6.68,80.1,0.32,15.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,11.16,134.0,0.17,9.0,False,True,True,True,True,Very Affordable,Weekly
ChIJox0yPU8Z2jERHKePRm932o0,4.0,"$$$$ (~$250/pax, Ultra-Premium)",250,3254.0,99.5,1194,0.4,4.8,7.68,251.3,False,False,False,True,True,Expensive,Quarterly,7961.0,148.8,1786,0.6,7.1,3.14,168.0,False,False,False,True,True,Moderate,Quarterly,13058.0,280.8,3370,1.12,13.5,1.91,89.0,False,False,True,True,True,Affordable,Monthly,18751.0,400.6,4807,1.6,19.2,1.33,62.4,False,False,True,True,True,Affordable,Monthly,34341.0,669.8,8038,2.68,32.2,0.73,37.3,False,False,True,True,True,Very Affordable,Monthly
ChIJiQQGOWgX2jERXmFkXdKaogI,1.0,"$ (~$20/pax, Hawker/Kopitiam)",20,3254.0,99.5,1194,4.97,59.7,0.61,20.1,False,True,True,True,True,Very Affordable,Weekly,7961.0,148.8,1786,7.44,89.3,0.25,13.4,False,True,True,True,True,Very Affordable,Weekly,13058.0,280.8,3370,14.04,168.5,0.15,7.1,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,20.03,240.4,0.11,5.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,33.49,401.9,0.06,3.0,True,True,True,True,True,Very Affordable,Daily
ChIJDw5_RG0Z2jERl-F--4zrv6E,2.0,"$$ (~$60/pax, Casual Dining)",60,3254.0,99.5,1194,1.66,19.9,1.84,60.3,False,False,True,True,True,Affordable,Monthly,7961.0,148.8,1786,2.48,29.8,0.75,40.3,False,False,True,True,True,Very Affordable,Monthly,13058.0,280.8,3370,4.68,56.2,0.46,21.4,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,6.68,80.1,0.32,15.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,11.16,134.0,0.17,9.0,False,True,True,True,True,Very Affordable,Weekly
ChIJ6xioi7MZ2jERUUldfIsqDH0,1.0,"$ (~$20/pax, Hawker/Kopitiam)",20,3254.0,99.5,1194,4.97,59.7,0.61,20.1,False,True,True,True,True,Very Affordable,Weekly,7961.0,148.8,1786,7.44,89.3,0.25,13.4,False,True,True,True,True,Very Affordable,Weekly,13058.0,280.8,3370,14.04,168.5,0.15,7.1,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,20.03,240.4,0.11,5.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,33.49,401.9,0.06,3.0,True,True,True,True,True,Very Affordable,Daily
ChIJn7jj_5kZ2jERdhZzwXgi41Q,1.0,"$ (~$20/pax, Hawker/Kopitiam)",20,3254.0,99.5,1194,4.97,59.7,0.61,20.1,False,True,True,True,True,Very Affordable,Weekly,7961.0,148.8,1786,7.44,89.3,0.25,13.4,False,True,True,True,True,Very Affordable,Weekly,13058.0,280.8,3370,14.04,168.5,0.15,7.1,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,20.03,240.4,0.11,5.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,33.49,401.9,0.06,3.0,True,True,True,True,True,Very Affordable,Daily
ChIJwcCP1psZ2jERI3RNOOXzMjs,1.0,"$ (~$20/pax, Hawker/Kopitiam)",20,3254.0,99.5,1194,4.97,59.7,0.61,20.1,False,True,True,True,True,Very Affordable,Weekly,7961.0,148.8,1786,7.44,89.3,0.25,13.4,False,True,True,True,True,Very Affordable,Weekly,13058.0,280.8,3370,14.04,168.5,0.15,7.1,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,20.03,240.4,0.11,5.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,33.49,401.9,0.06,3.0,True,True,True,True,True,Very Affordable,Daily
ChIJ8yh3oeMZ2jERgfHcowGUFIY,2.0,"$$ (~$60/pax, Casual Dining)",60,3254.0,99.5,1194,1.66,19.9,1.84,60.3,False,False,True,True,True,Affordable,Monthly,7961.0,148.8,1786,2.48,29.8,0.75,40.3,False,False,True,True,True,Very Affordable,Monthly,13058.0,280.8,3370,4.68,56.2,0.46,21.4,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,6.68,80.1,0.32,15.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,11.16,134.0,0.17,9.0,False,True,True,True,True,Very Affordable,Weekly
ChIJu2nZw9wP2jERIJCbMLtYXCc,1.0,"$ (~$20/pax, Hawker/Kopitiam)",20,3254.0,99.5,1194,4.97,59.7,0.61,20.1,False,True,True,True,True,Very Affordable,Weekly,7961.0,148.8,1786,7.44,89.3,0.25,13.4,False,True,True,True,True,Very Affordable,Weekly,13058.0,280.8,3370,14.04,168.5,0.15,7.1,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,20.03,240.4,0.11,5.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,33.49,401.9,0.06,3.0,True,True,True,True,True,Very Affordable,Daily
ChIJh9mEGc4Z2jERGye7UfBopck,1.0,"$ (~$20/pax, Hawker/Kopitiam)",20,3254.0,99.5,1194,4.97,59.7,0.61,20.1,False,True,True,True,True,Very Affordable,Weekly,7961.0,148.8,1786,7.44,89.3,0.25,13.4,False,True,True,True,True,Very Affordable,Weekly,13058.0,280.8,3370,14.04,168.5,0.15,7.1,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,20.03,240.4,0.11,5.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,33.49,401.9,0.06,3.0,True,True,True,True,True,Very Affordable,Daily
ChIJe8_wgHIZ2jERzHYmjtT4fpI,2.0,"$$ (~$60/pax, Casual Dining)",60,3254.0,99.5,1194,1.66,19.9,1.84,60.3,False,False,True,True,True,Affordable,Monthly,7961.0,148.8,1786,2.48,29.8,0.75,40.3,False,False,True,True,True,Very Affordable,Monthly,13058.0,280.8,3370,4.68,56.2,0.46,21.4,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,6.68,80.1,0.32,15.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,11.16,134.0,0.17,9.0,False,True,True,True,True,Very Affordable,Weekly
ChIJ3z2MH3MZ2jER5VZxwFfXs1A,1.0,"$ (~$20/pax, Hawker/Kopitiam)",20,3254.0,99.5,1194,4.97,59.7,0.61,20.1,False,True,True,True,True,Very Affordable,Weekly,7961.0,148.8,1786,7.44,89.3,0.25,13.4,False,True,True,True,True,Very Affordable,Weekly,13058.0,280.8,3370,14.04,168.5,0.15,7.1,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,20.03,240.4,0.11,5.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,33.49,401.9,0.06,3.0,True,True,True,True,True,Very Affordable,Daily
ChIJZZZoqxkQ2jERUlm9TCW5lj4,1.0,"$ (~$20/pax, Hawker/Kopitiam)",20,3254.0,99.5,1194,4.97,59.7,0.61,20.1,False,True,True,True,True,Very Affordable,Weekly,7961.0,148.8,1786,7.44,89.3,0.25,13.4,False,True,True,True,True,Very Affordable,Weekly,13058.0,280.8,3370,14.04,168.5,0.15,7.1,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,20.03,240.4,0.11,5.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,33.49,401.9,0.06,3.0,True,True,True,True,True,Very Affordable,Daily
ChIJX9KCDfsP2jERiI4IUgJDkn4,1.0,"$ (~$20/pax, Hawker/Kopitiam)",20,3254.0,99.5,1194,4.97,59.7,0.61,20.1,False,True,True,True,True,Very Affordable,Weekly,7961.0,148.8,1786,7.44,89.3,0.25,13.4,False,True,True,True,True,Very Affordable,Weekly,13058.0,280.8,3370,14.04,168.5,0.15,7.1,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,20.03,240.4,0.11,5.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,33.49,401.9,0.06,3.0,True,True,True,True,True,Very Affordable,Daily
ChIJEWNnq5of2jER69_bjd4nzlg,3.0,"$$$ (~$120/pax, Fine Dining)",120,3254.0,99.5,1194,0.83,10.0,3.69,120.6,False,False,False,True,True,Moderate,Quarterly,7961.0,148.8,1786,1.24,14.9,1.51,80.6,False,False,True,True,True,Affordable,Monthly,13058.0,280.8,3370,2.34,28.1,0.92,42.7,False,False,True,True,True,Very Affordable,Monthly,18751.0,400.6,4807,3.34,40.1,0.64,30.0,False,False,True,True,True,Very Affordable,Monthly,34341.0,669.8,8038,5.58,67.0,0.35,17.9,False,True,True,True,True,Very Affordable,Weekly
ChIJ04fGxckj2jERlkiNn_xBbbM,2.0,"$$ (~$60/pax, Casual Dining)",60,3254.0,99.5,1194,1.66,19.9,1.84,60.3,False,False,True,True,True,Affordable,Monthly,7961.0,148.8,1786,2.48,29.8,0.75,40.3,False,False,True,True,True,Very Affordable,Monthly,13058.0,280.8,3370,4.68,56.2,0.46,21.4,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,6.68,80.1,0.32,15.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,11.16,134.0,0.17,9.0,False,True,True,True,True,Very Affordable,Weekly
ChIJp2UFL20Z2jERJC_y2icO1kg,2.0,"$$ (~$60/pax, Casual Dining)",60,3254.0,99.5,1194,1.66,19.9,1.84,60.3,False,False,True,True,True,Affordable,Monthly,7961.0,148.8,1786,2.48,29.8,0.75,40.3,False,False,True,True,True,Very Affordable,Monthly,13058.0,280.8,3370,4.68,56.2,0.46,21.4,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,6.68,80.1,0.32,15.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,11.16,134.0,0.17,9.0,False,True,True,True,True,Very Affordable,Weekly
ChIJSSqJZm0Z2jERuHaJHZH3bnE,2.0,"$$ (~$60/pax, Casual Dining)",60,3254.0,99.5,1194,1.66,19.9,1.84,60.3,False,False,True,True,True,Affordable,Monthly,7961.0,148.8,1786,2.48,29.8,0.75,40.3,False,False,True,True,True,Very Affordable,Monthly,13058.0,280.8,3370,4.68,56.2,0.46,21.4,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,6.68,80.1,0.32,15.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,11.16,134.0,0.17,9.0,False,True,True,True,True,Very Affordable,Weekly
ChIJL-iGGXMZ2jERo589VVCGp74,1.0,"$ (~$20/pax, Hawker/Kopitiam)",20,3254.0,99.5,1194,4.97,59.7,0.61,20.1,False,True,True,True,True,Very Affordable,Weekly,7961.0,148.8,1786,7.44,89.3,0.25,13.4,False,True,True,True,True,Very Affordable,Weekly,13058.0,280.8,3370,14.04,168.5,0.15,7.1,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,20.03,240.4,0.11,5.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,33.49,401.9,0.06,3.0,True,True,True,True,True,Very Affordable,Daily
ChIJrwB2KhgZ2jERsRlRqpjXCrM,1.0,"$ (~$20/pax, Hawker/Kopitiam)",20,3254.0,99.5,1194,4.97,59.7,0.61,20.1,False,True,True,True,True,Very Affordable,Weekly,7961.0,148.8,1786,7.44,89.3,0.25,13.4,False,True,True,True,True,Very Affordable,Weekly,13058.0,280.8,3370,14.04,168.5,0.15,7.1,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,20.03,240.4,0.11,5.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,33.49,401.9,0.06,3.0,True,True,True,True,True,Very Affordable,Daily
ChIJ-7LfbdQb2jERJZ6s7i4dobc,1.0,"$ (~$20/pax, Hawker/Kopitiam)",20,3254.0,99.5,1194,4.97,59.7,0.61,20.1,False,True,True,True,True,Very Affordable,Weekly,7961.0,148.8,1786,7.44,89.3,0.25,13.4,False,True,True,True,True,Very Affordable,Weekly,13058.0,280.8,3370,14.04,168.5,0.15,7.1,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,20.03,240.4,0.11,5.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,33.49,401.9,0.06,3.0,True,True,True,True,True,Very Affordable,Daily
ChIJjeS1cqUZ2jERG8Hwz6rwZ3w,2.0,"$$ (~$60/pax, Casual Dining)",60,3254.0,99.5,1194,1.66,19.9,1.84,60.3,False,False,True,True,True,Affordable,Monthly,7961.0,148.8,1786,2.48,29.8,0.75,40.3,False,False,True,True,True,Very Affordable,Monthly,13058.0,280.8,3370,4.68,56.2,0.46,21.4,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,6.68,80.1,0.32,15.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,11.16,134.0,0.17,9.0,False,True,True,True,True,Very Affordable,Weekly
ChIJM72d7Wga2jERGul5fBo4dsI,1.0,"$ (~$20/pax, Hawker/Kopitiam)",20,3254.0,99.5,1194,4.97,59.7,0.61,20.1,False,True,True,True,True,Very Affordable,Weekly,7961.0,148.8,1786,7.44,89.3,0.25,13.4,False,True,True,True,True,Very Affordable,Weekly,13058.0,280.8,3370,14.04,168.5,0.15,7.1,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,20.03,240.4,0.11,5.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,33.49,401.9,0.06,3.0,True,True,True,True,True,Very Affordable,Daily
ChIJhw9kfo0Z2jERQvBMA2bcwP8,4.0,"$$$$ (~$250/pax, Ultra-Premium)",250,3254.0,99.5,1194,0.4,4.8,7.68,251.3,False,False,False,True,True,Expensive,Quarterly,7961.0,148.8,1786,0.6,7.1,3.14,168.0,False,False,False,True,True,Moderate,Quarterly,13058.0,280.8,3370,1.12,13.5,1.91,89.0,False,False,True,True,True,Affordable,Monthly,18751.0,400.6,4807,1.6,19.2,1.33,62.4,False,False,True,True,True,Affordable,Monthly,34341.0,669.8,8038,2.68,32.2,0.73,37.3,False,False,True,True,True,Very Affordable,Monthly
ChIJ1S7ASO0Z2jERhP38R8TQodk,2.0,"$$ (~$60/pax, Casual Dining)",60,3254.0,99.5,1194,1.66,19.9,1.84,60.3,False,False,True,True,True,Affordable,Monthly,7961.0,148.8,1786,2.48,29.8,0.75,40.3,False,False,True,True,True,Very Affordable,Monthly,13058.0,280.8,3370,4.68,56.2,0.46,21.4,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,6.68,80.1,0.32,15.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,11.16,134.0,0.17,9.0,False,True,True,True,True,Very Affordable,Weekly
ChIJ0Wkqc6UZ2jERmam6mzVinfg,3.0,"$$$ (~$120/pax, Fine Dining)",120,3254.0,99.5,1194,0.83,10.0,3.69,120.6,False,False,False,True,True,Moderate,Quarterly,7961.0,148.8,1786,1.24,14.9,1.51,80.6,False,False,True,True,True,Affordable,Monthly,13058.0,280.8,3370,2.34,28.1,0.92,42.7,False,False,True,True,True,Very Affordable,Monthly,18751.0,400.6,4807,3.34,40.1,0.64,30.0,False,False,True,True,True,Very Affordable,Monthly,34341.0,669.8,8038,5.58,67.0,0.35,17.9,False,True,True,True,True,Very Affordable,Weekly
ChIJqfRKpHoX2jER2DBjukNp6O0,1.0,"$ (~$20/pax, Hawker/Kopitiam)",20,3254.0,99.5,1194,4.97,59.7,0.61,20.1,False,True,True,True,True,Very Affordable,Weekly,7961.0,148.8,1786,7.44,89.3,0.25,13.4,False,True,True,True,True,Very Affordable,Weekly,13058.0,280.8,3370,14.04,168.5,0.15,7.1,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,20.03,240.4,0.11,5.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,33.49,401.9,0.06,3.0,True,True,True,True,True,Very Affordable,Daily
ChIJe38Z9c0V2jERZV-xPhThdjY,1.0,"$ (~$20/pax, Hawker/Kopitiam)",20,3254.0,99.5,1194,4.97,59.7,0.61,20.1,False,True,True,True,True,Very Affordable,Weekly,7961.0,148.8,1786,7.44,89.3,0.25,13.4,False,True,True,True,True,Very Affordable,Weekly,13058.0,280.8,3370,14.04,168.5,0.15,7.1,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,20.03,240.4,0.11,5.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,33.49,401.9,0.06,3.0,True,True,True,True,True,Very Affordable,Daily
ChIJL0GR3AIZ2jER0yJEIL0jQGE,4.0,"$$$$ (~$250/pax, Ultra-Premium)",250,3254.0,99.5,1194,0.4,4.8,7.68,251.3,False,False,False,True,True,Expensive,Quarterly,7961.0,148.8,1786,0.6,7.1,3.14,168.0,False,False,False,True,True,Moderate,Quarterly,13058.0,280.8,3370,1.12,13.5,1.91,89.0,False,False,True,True,True,Affordable,Monthly,18751.0,400.6,4807,1.6,19.2,1.33,62.4,False,False,True,True,True,Affordable,Monthly,34341.0,669.8,8038,2.68,32.2,0.73,37.3,False,False,True,True,True,Very Affordable,Monthly
ChIJ642LmRIZ2jERuJkC1M3zWF0,1.0,"$ (~$20/pax, Hawker/Kopitiam)",20,3254.0,99.5,1194,4.97,59.7,0.61,20.1,False,True,True,True,True,Very Affordable,Weekly,7961.0,148.8,1786,7.44,89.3,0.25,13.4,False,True,True,True,True,Very Affordable,Weekly,13058.0,280.8,3370,14.04,168.5,0.15,7.1,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,20.03,240.4,0.11,5.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,33.49,401.9,0.06,3.0,True,True,True,True,True,Very Affordable,Daily
ChIJI334k48Z2jERRuGSfOS78ww,2.0,"$$ (~$60/pax, Casual Dining)",60,3254.0,99.5,1194,1.66,19.9,1.84,60.3,False,False,True,True,True,Affordable,Monthly,7961.0,148.8,1786,2.48,29.8,0.75,40.3,False,False,True,True,True,Very Affordable,Monthly,13058.0,280.8,3370,4.68,56.2,0.46,21.4,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,6.68,80.1,0.32,15.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,11.16,134.0,0.17,9.0,False,True,True,True,True,Very Affordable,Weekly
ChIJx3TNyV8Z2jERAFrgrjj3HVA,1.0,"$ (~$20/pax, Hawker/Kopitiam)",20,3254.0,99.5,1194,4.97,59.7,0.61,20.1,False,True,True,True,True,Very Affordable,Weekly,7961.0,148.8,1786,7.44,89.3,0.25,13.4,False,True,True,True,True,Very Affordable,Weekly,13058.0,280.8,3370,14.04,168.5,0.15,7.1,False,True,True,True,True,Very Affordable,Weekly,18751.0,400.6,4807,20.03,240.4,0.11,5.0,False,True,True,True,True,Very Affordable,Weekly,34341.0,669.8,8038,33.49,401.9,0.06,3.0,True,True,True,True,True,Very Affordable,Daily
